XTKG XTKMA LNKOXR LEBF, Key: 1
YULH YULNB MOLPYS MFCG, Key: 2 
ZVMI ZVMOC NPMQZT NGDH, Key: 3 
AWNJ AWNPD OQNRAU OHEI, Key: 4 
BXOK BXOQE PROSBV PIFJ, Key: 5 
CYPL CYPRF QSPTCW QJGK, Key: 6 
DZQM DZQSG RTQUDX RKHL, Key: 7 
EARN EARTH SURVEY SLIM, Key: 8 
FBSO FBSUI TVSWFZ TMJN, Key: 9 
GCTP GCTVJ UWTXGA UNKO, Key: 10
HDUQ HDUWK VXUYHB VOLP, Key: 11
IEVR IEVXL WYVZIC WPMQ, Key: 12
JFWS JFWYM XZWAJD XQNR, Key: 13
KGXT KGXZN YAXBKE YROS, Key: 14
LHYU LHYAO ZBYCLF ZSPT, Key: 15
MIZV MIZBP ACZDMG ATQU, Key: 16
NJAW NJACQ BDAENH BURV, Key: 17
OKBX OKBDR CEBFOI CVSW, Key: 18
PLCY PLCES DFCGPJ DWTX, Key: 19
QMDZ QMDFT EGDHQK EXUY, Key: 20
RNEA RNEGU FHEIRL FYVZ, Key: 21
SOFB SOFHV GIFJSM GZWA, Key: 22
TPGC TPGIW HJGKTN HAXB, Key: 23
UQHD UQHJX IKHLUO IBYC, Key: 24
VRIE VRIKY JLIMVP JCZD, Key: 25
WSJF WSJLZ KMJNWQ KDAE, Key: 26
